,Mg Concentration,Mg Error1s,Al Concentration,Al Error1s,Si Concentration,Si Error1s,P Concentration,P Error1s,S Concentration,S Error1s,Cl Concentration,Cl Error1s,K Concentration,K Error1s,Ca Concentration,Ca Error1s,Ti Concentration,Ti Error1s,V Concentration,V Error1s,Cr Concentration,Cr Error1s,Mn Concentration,Mn Error1s,Fe Concentration,Fe Error1s,Co Concentration,Co Error1s,Ni Concentration,Ni Error1s,Cu Concentration,Cu Error1s,Zn Concentration,Zn Error1s,As Concentration,As Error1s,Se Concentration,Se Error1s,Rb Concentration,Rb Error1s,Sr Concentration,Sr Error1s,Y Concentration,Y Error1s,Zr Concentration,Zr Error1s,Nb Concentration,Nb Error1s,Mo Concentration,Mo Error1s,Ag Concentration,Ag Error1s,Cd Concentration,Cd Error1s,Sn Concentration,Sn Error1s,Sb Concentration,Sb Error1s,Ba Concentration,Ba Error1s,La Concentration,La Error1s,Ce Concentration,Ce Error1s,Pr Concentration,Pr Error1s,Nd Concentration,Nd Error1s,W Concentration,W Error1s,Au Concentration,Au Error1s,Hg Concentration,Hg Error1s,Pb Concentration,Pb Error1s,Bi Concentration,Bi Error1s,Th Concentration,Th Error1s,U Concentration,U Error1s,LE Concentration,LE Error1s
9_m01,<LOD,44147,17747,873,47170,390,1063,58,9785,93,25110,138,31419,174,11148,60,<LOD,1258,<LOD,84,44,26,230,24,1189,39,217,15,1155,36,844124,883,<LOD,74,1503,34,44,9,<LOD,1,25,5,49,7,<LOD,3,90,8,191,9,1644,46,<LOD,6,330,41,2804,68,<LOD,4409,<LOD,7891,<LOD,9994,<LOD,15412,<LOD,20689,323,105,237,23,<LOD,10,374,20,1982,155,<LOD,16,<LOD,3,<LOD,0
9_m02,<LOD,43932,11749,912,34727,353,1191,59,10557,89,25255,134,46786,192,3160,46,<LOD,1057,<LOD,86,50,27,208,25,507,36,193,15,181,30,855723,937,<LOD,75,326,49,52,10,<LOD,1,24,5,32,9,<LOD,3,79,8,173,9,1865,50,<LOD,6,251,41,251,51,216,63,<LOD,8276,<LOD,10635,<LOD,16308,1013,283,<LOD,20,109,18,<LOD,8,3636,57,1685,160,<LOD,16,<LOD,3,<LOD,0
9_m03,22634,6780,32637,958,91032,1112,1199,64,11469,162,23015,293,16296,248,11539,143,608,146,<LOD,95,45,26,239,26,3505,65,128,17,1847,45,774953,5614,708,85,1480,51,38,8,<LOD,1,26,5,52,9,<LOD,3,88,8,175,9,643,30,<LOD,7,336,38,492,50,247,60,<LOD,8034,<LOD,10229,<LOD,16010,<LOD,21109,<LOD,23,82,19,<LOD,10,2730,56,1757,137,<LOD,16,<LOD,3,<LOD,0
9_m04,<LOD,51165,12851,915,32466,350,163,50,10854,89,5089,89,47114,188,1847,42,<LOD,1257,170,42,46,26,162,25,388,35,207,15,743,34,878807,924,<LOD,74,862,51,76,9,<LOD,1,24,5,<LOD,2,<LOD,3,87,9,178,10,1609,46,<LOD,6,364,42,347,53,<LOD,4469,<LOD,7770,<LOD,9914,<LOD,15177,<LOD,19797,<LOD,20,73,19,<LOD,8,3279,55,2195,167,<LOD,16,<LOD,3,<LOD,0
9_m05,<LOD,40782,9190,916,32186,336,<LOD,668,7424,75,11171,99,60661,203,2130,45,<LOD,964,<LOD,84,46,26,173,25,285,35,203,15,3018,47,861800,939,<LOD,73,1199,63,50,9,<LOD,1,20,5,<LOD,2,<LOD,3,79,9,169,9,589,30,<LOD,6,<LOD,8,382,51,<LOD,4828,<LOD,8358,<LOD,11095,<LOD,17107,1231,294,269,89,<LOD,4,<LOD,8,5375,68,2350,159,<LOD,16,<LOD,3,<LOD,0
9_m06,<LOD,40542,15977,832,37609,359,6782,92,18945,115,40243,164,25385,171,10238,58,<LOD,1184,<LOD,84,52,27,189,25,570,36,159,14,186,29,832334,856,376,87,852,54,72,10,<LOD,1,27,5,37,9,<LOD,3,86,8,170,9,2296,54,<LOD,6,187,40,382,50,<LOD,4298,<LOD,7556,<LOD,9527,773,218,<LOD,21388,<LOD,22,132,20,<LOD,9,4196,59,1744,152,<LOD,16,<LOD,3,<LOD,0
9_m07,<LOD,53244,13629,875,34010,358,240,53,13140,101,35609,159,28084,178,2059,42,<LOD,1474,<LOD,81,46,27,252,25,1242,41,270,16,1360,39,857753,885,<LOD,75,3768,65,35,10,<LOD,1,<LOD,1,<LOD,2,<LOD,3,79,9,164,10,1563,46,<LOD,7,<LOD,9,1490,65,191,63,<LOD,7197,<LOD,9332,<LOD,14501,<LOD,19632,<LOD,23,92,26,<LOD,8,2898,52,2024,162,<LOD,16,<LOD,3,<LOD,0
9_m08,<LOD,55351,13537,889,34342,358,347,53,11843,96,6420,99,37224,182,4406,48,436,138,<LOD,76,52,28,260,25,585,37,302,15,799,35,870973,912,<LOD,74,1964,66,54,10,<LOD,1,<LOD,1,<LOD,2,<LOD,3,78,9,175,10,1261,42,<LOD,6,298,45,7576,99,<LOD,3735,<LOD,6496,<LOD,8584,<LOD,13482,<LOD,18136,<LOD,21,<LOD,4,<LOD,9,4910,67,2159,165,<LOD,16,<LOD,3,<LOD,0
9_m09,<LOD,49993,11352,900,32314,343,371,51,8368,82,3353,86,49521,191,1481,42,<LOD,1261,<LOD,81,44,26,109,25,307,35,184,15,241,30,883712,916,<LOD,74,2321,52,66,10,<LOD,1,22,5,39,9,<LOD,3,94,9,174,10,740,32,<LOD,6,184,41,328,53,<LOD,4643,<LOD,8086,<LOD,10267,<LOD,15971,<LOD,22082,298,96,<LOD,4,<LOD,8,1894,43,2483,171,<LOD,16,<LOD,3,<LOD,0
9_m10,<LOD,42414,13195,823,32626,338,643,52,17226,103,38864,153,31693,170,3150,43,<LOD,1146,114,38,42,25,272,24,272,33,220,14,202,29,852791,828,<LOD,74,3057,46,56,9,<LOD,1,20,5,40,7,<LOD,3,85,8,179,9,1012,37,<LOD,6,562,40,235,49,<LOD,4609,<LOD,7990,<LOD,10361,<LOD,16262,<LOD,21670,<LOD,20,<LOD,4,<LOD,8,487,23,2956,160,<LOD,16,<LOD,3,<LOD,0
9_m11,<LOD,42378,<LOD,7230,<LOD,4752,<LOD,967,<LOD,1770,<LOD,3738,<LOD,4768,<LOD,1650,<LOD,295,<LOD,88,134,29,222,27,4233,58,189,20,934,34,873546,331,82062,192,3077,112,<LOD,3,<LOD,2,24,7,<LOD,3,<LOD,3,<LOD,3,341,14,1369,47,<LOD,7,16187,120,1224,81,254,79,<LOD,6122,<LOD,7891,<LOD,12361,<LOD,16384,<LOD,50,<LOD,6,<LOD,15,12490,120,3713,187,<LOD,14,<LOD,3,<LOD,1496
9_m12,<LOD,33108,26366,860,89262,460,384,48,6115,71,18673,114,42485,182,2435,42,<LOD,876,<LOD,85,63,26,221,24,953,37,223,14,460,29,784263,850,20064,114,1843,39,76,10,<LOD,1,17,4,48,7,<LOD,3,<LOD,2,178,9,1189,39,<LOD,6,919,39,459,47,<LOD,4287,<LOD,7362,<LOD,9533,<LOD,14939,<LOD,19945,<LOD,31,<LOD,4,<LOD,10,797,27,2510,144,<LOD,16,<LOD,3,<LOD,0
9_m13,<LOD,40189,8866,891,30139,318,<LOD,684,3487,61,3483,79,64401,202,592,41,<LOD,997,<LOD,86,47,26,211,25,279,34,210,14,450,31,879230,949,<LOD,73,1094,33,73,9,<LOD,1,18,5,53,7,<LOD,3,88,8,182,9,738,33,<LOD,6,216,38,152,49,<LOD,4490,339,111,<LOD,9655,705,215,1208,298,<LOD,19,69,17,<LOD,8,532,24,3139,169,<LOD,16,<LOD,3,<LOD,0
9_m14,<LOD,47801,17896,859,36046,360,543,54,7745,81,28343,140,29924,174,5862,50,<LOD,1395,<LOD,84,52,27,213,24,633,37,218,15,746,33,845669,865,11629,109,2250,52,68,12,<LOD,1,19,5,51,9,<LOD,3,<LOD,2,190,10,859,36,<LOD,6,5067,63,734,57,<LOD,4333,<LOD,7480,<LOD,9570,<LOD,14840,<LOD,19717,<LOD,27,70,23,<LOD,9,2005,44,3168,162,<LOD,16,<LOD,3,<LOD,0
9_m15,24900,6361,11172,879,31586,472,1060,56,4598,84,16139,207,51945,584,2114,49,<LOD,1038,<LOD,84,61,27,127,26,896,40,151,16,740,32,812374,5483,28484,332,1664,54,32,10,<LOD,1,<LOD,1,47,9,<LOD,3,<LOD,2,208,10,626,30,<LOD,6,3136,61,349,50,<LOD,4299,<LOD,7363,448,136,905,216,1095,288,<LOD,34,<LOD,4,<LOD,11,2719,57,2424,154,<LOD,15,<LOD,3,<LOD,0
9_m16,<LOD,36780,<LOD,7138,<LOD,3998,<LOD,627,<LOD,1278,<LOD,2119,<LOD,5418,<LOD,1527,<LOD,283,<LOD,83,113,27,230,26,1052,40,232,16,799,35,928392,517,29506,142,2604,96,<LOD,2,<LOD,1,<LOD,1,<LOD,2,<LOD,3,<LOD,2,249,13,1007,41,<LOD,6,19669,123,1009,74,<LOD,2999,<LOD,5235,<LOD,6619,815,264,1368,364,<LOD,35,<LOD,5,<LOD,11,9563,102,3392,197,<LOD,15,<LOD,3,<LOD,1346
9_m17,<LOD,40774,<LOD,7333,<LOD,4050,<LOD,680,<LOD,1373,<LOD,2590,<LOD,5239,<LOD,1554,<LOD,298,<LOD,87,117,28,157,26,1450,43,196,17,738,36,935448,313,21290,133,3021,104,52,14,<LOD,1,<LOD,1,<LOD,2,<LOD,3,<LOD,2,220,13,1127,43,<LOD,6,20398,126,1221,77,<LOD,3319,<LOD,5736,<LOD,7198,<LOD,11319,<LOD,15395,<LOD,32,<LOD,5,<LOD,11,11061,110,3504,200,<LOD,15,<LOD,3,<LOD,1394
9_m18,<LOD,37733,9227,357,18190,161,328,19,2134,29,22177,113,56905,258,<LOD,827,<LOD,588,<LOD,73,410,41,<LOD,981,1532,43,<LOD,20,151,10,13728,84,86,11,22,5,<LOD,3,<LOD,2,<LOD,2,<LOD,2,<LOD,2,<LOD,2,16,2,607067,911,2248,23,<LOD,46,<LOD,7,372,60,<LOD,426,<LOD,523,<LOD,839,<LOD,1097,<LOD,24,41,4,34,7,166,5,<LOD,12,92,4,16,3,265059,1007
9_m19,<LOD,40239,<LOD,7328,<LOD,4226,<LOD,689,<LOD,1309,<LOD,2738,<LOD,5442,<LOD,1694,<LOD,285,<LOD,86,117,28,112,26,1038,41,179,16,232,32,942625,477,21306,133,4714,64,36,12,<LOD,1,36,6,44,9,<LOD,3,<LOD,2,237,13,240,26,<LOD,6,23971,134,313,69,<LOD,2895,<LOD,5228,577,171,<LOD,10308,1164,368,<LOD,32,<LOD,5,<LOD,11,523,28,2539,196,<LOD,15,<LOD,3,<LOD,1352
9_m20,<LOD,40611,<LOD,7633,<LOD,4537,<LOD,711,<LOD,1506,<LOD,2820,<LOD,5605,<LOD,1734,<LOD,288,<LOD,87,124,28,136,26,815,39,168,16,758,36,949128,298,14882,124,2191,83,54,14,<LOD,1,28,7,60,13,<LOD,3,<LOD,2,235,13,941,40,<LOD,6,19299,122,800,74,<LOD,3131,<LOD,5675,<LOD,7187,<LOD,11249,<LOD,15544,<LOD,28,<LOD,5,<LOD,10,6808,87,3573,199,<LOD,15,<LOD,3,<LOD,1361
9_m21,<LOD,35803,13559,779,33446,315,135,42,6380,66,18692,106,45758,168,4194,44,<LOD,939,<LOD,76,63,26,1397,40,2513,44,2137,30,211373,357,657317,695,<LOD,43,87,13,38,7,<LOD,1,23,5,32,9,<LOD,4,59,8,133,8,321,25,<LOD,5,413,36,<LOD,9,<LOD,4406,<LOD,7717,<LOD,9675,<LOD,15097,1016,302,<LOD,14,48,12,<LOD,6,86,12,781,131,<LOD,13,<LOD,2,<LOD,0
9_m22,<LOD,37105,<LOD,7393,<LOD,4110,<LOD,660,<LOD,1451,<LOD,1824,<LOD,5750,<LOD,1658,<LOD,287,<LOD,86,124,28,240,26,1893,45,228,17,723,36,940664,306,15726,124,2229,98,62,15,<LOD,1,<LOD,1,67,15,<LOD,3,<LOD,2,227,13,993,42,<LOD,6,21185,126,1124,74,<LOD,3138,<LOD,5483,<LOD,7016,<LOD,10966,<LOD,14617,<LOD,28,101,32,<LOD,10,10485,106,3928,195,<LOD,15,<LOD,3,<LOD,1360
9_m23,<LOD,38800,13288,399,20309,175,432,21,1548,28,15005,87,64940,293,<LOD,788,<LOD,617,<LOD,74,409,43,132,37,1059,40,<LOD,19,94,10,23032,126,121,14,45,6,<LOD,3,<LOD,2,<LOD,2,<LOD,2,<LOD,2,<LOD,2,12,2,586365,946,2316,25,<LOD,46,<LOD,7,340,63,<LOD,472,<LOD,591,<LOD,914,<LOD,1237,<LOD,27,84,6,29,7,274,7,<LOD,12,86,4,11,3,270068,1068
9_m24,<LOD,44496,6437,381,11354,135,332,19,2086,31,8236,63,69476,324,<LOD,800,<LOD,676,<LOD,72,466,45,<LOD,1084,353,33,<LOD,18,82,10,18860,112,116,14,75,7,<LOD,3,<LOD,2,<LOD,2,<LOD,2,<LOD,2,<LOD,2,14,2,586861,963,2386,26,<LOD,46,<LOD,7,363,60,<LOD,457,<LOD,574,<LOD,872,<LOD,1190,<LOD,34,162,7,52,9,393,8,<LOD,12,92,4,16,3,291788,1067
9_m25,<LOD,43993,5890,364,10556,128,226,18,2142,29,10392,69,64325,300,<LOD,765,<LOD,660,<LOD,70,362,41,<LOD,1101,323,32,<LOD,18,126,10,25175,139,118,14,22,4,<LOD,3,<LOD,2,5,1,<LOD,2,<LOD,2,6,2,14,2,589629,962,2349,25,<LOD,46,<LOD,7,264,64,<LOD,482,<LOD,576,<LOD,859,1052,279,<LOD,24,39,5,34,7,57,4,<LOD,11,84,4,11,3,286800,1056
9_m26,<LOD,34636,9919,857,27004,308,801,51,35896,140,2095,82,60437,198,713,42,<LOD,901,<LOD,80,73,27,292,29,949,36,317,17,170508,334,686612,779,<LOD,49,<LOD,2,30,7,<LOD,1,16,4,53,8,<LOD,4,78,8,159,8,48,16,<LOD,6,219,36,145,45,231,62,<LOD,7987,456,130,618,201,1055,286,<LOD,15,66,13,<LOD,6,67,12,1141,131,<LOD,14,<LOD,2,<LOD,0
9_m27,<LOD,4907,982028,426,5982,418,<LOD,67,4052,66,<LOD,270,<LOD,1835,<LOD,209,<LOD,103,<LOD,241,<LOD,151,164,23,5576,65,<LOD,111,599,15,1076,17,211,7,12,2,<LOD,7,<LOD,7,<LOD,8,<LOD,11,22,2,<LOD,14,7,2,28,3,<LOD,66,<LOD,79,38,12,<LOD,2254,<LOD,3802,125,34,<LOD,7072,<LOD,9184,28,9,<LOD,13,<LOD,34,23,2,<LOD,66,27,4,<LOD,19,<LOD,0
10_m01,<LOD,38244,10154,906,30202,328,<LOD,649,2065,55,698,72,65223,206,<LOD,1320,<LOD,937,<LOD,81,76,26,191,25,396,33,231,16,9014,63,701178,782,177120,335,<LOD,2,<LOD,2,<LOD,1,<LOD,1,54,7,<LOD,3,<LOD,4,435,13,<LOD,0,<LOD,6,347,40,176,50,<LOD,5141,<LOD,9021,495,139,<LOD,17568,<LOD,23756,<LOD,72,<LOD,3,<LOD,20,69,14,1878,137,<LOD,13,<LOD,3,<LOD,0
10_m02,<LOD,38407,10214,887,28751,316,<LOD,698,2042,54,<LOD,1638,61829,198,2327,45,<LOD,962,<LOD,83,72,27,1733,43,1376,40,371,19,213642,385,675350,753,<LOD,45,<LOD,2,38,8,<LOD,1,31,5,54,9,<LOD,4,70,8,157,9,74,17,<LOD,6,248,38,<LOD,10,<LOD,4512,370,108,<LOD,10258,<LOD,16143,<LOD,21531,219,69,53,13,<LOD,7,<LOD,2,980,135,<LOD,13,<LOD,3,<LOD,0
10_m03,<LOD,36074,10062,807,27189,288,<LOD,655,2435,51,2141,68,60165,182,136,37,<LOD,938,<LOD,77,76,24,218,24,305,31,203,15,10173,63,705836,741,176840,312,<LOD,2,<LOD,2,<LOD,1,<LOD,1,58,7,<LOD,3,<LOD,4,462,13,74,17,<LOD,5,197,37,<LOD,9,<LOD,4799,<LOD,8383,441,145,<LOD,16851,1194,318,<LOD,67,<LOD,3,<LOD,19,<LOD,2,1793,142,<LOD,13,<LOD,3,<LOD,0
10_m04,<LOD,36530,8436,902,28380,315,<LOD,659,2000,53,1124,70,71961,213,<LOD,1453,<LOD,937,<LOD,92,57,29,181,27,29041,125,2175,41,<LOD,31,854179,873,<LOD,70,<LOD,2,55,8,<LOD,1,<LOD,1,39,8,<LOD,3,83,8,155,9,73,16,<LOD,6,<LOD,9,<LOD,11,<LOD,4309,<LOD,7417,<LOD,9616,<LOD,15310,<LOD,20457,<LOD,17,60,13,<LOD,7,34,11,1964,145,<LOD,15,<LOD,3,<LOD,0
10_m05,21634,5065,7041,821,24611,342,<LOD,556,1927,48,<LOD,1297,74373,629,<LOD,1242,<LOD,782,<LOD,77,106,26,103,25,235,32,164,16,10241,105,687299,3858,169078,1337,<LOD,2,<LOD,2,<LOD,1,<LOD,1,61,6,<LOD,3,<LOD,4,405,12,<LOD,0,<LOD,5,272,35,135,44,<LOD,4925,<LOD,8678,433,142,<LOD,17577,<LOD,23937,<LOD,67,<LOD,3,<LOD,19,52,12,1829,135,<LOD,13,<LOD,2,<LOD,0
10_m06,<LOD,35733,10540,815,26275,286,<LOD,663,1954,48,775,63,62771,184,236,37,<LOD,933,<LOD,80,73,24,161,24,960,35,220,16,9612,61,709642,706,174126,304,<LOD,2,<LOD,2,<LOD,1,<LOD,1,58,7,<LOD,3,<LOD,4,418,12,69,17,<LOD,5,314,37,<LOD,9,<LOD,4743,<LOD,8321,<LOD,10359,<LOD,16282,<LOD,22227,<LOD,67,<LOD,3,<LOD,19,<LOD,2,1795,142,<LOD,13,<LOD,3,<LOD,0
10_m07,<LOD,35581,9750,889,28194,311,<LOD,674,2215,52,<LOD,1511,68971,207,1717,45,<LOD,911,<LOD,83,111,30,1003,38,726,36,249,18,215374,391,667820,770,<LOD,52,<LOD,2,<LOD,1,<LOD,1,15,4,27,9,<LOD,4,97,9,181,9,86,16,<LOD,6,178,37,192,48,<LOD,5076,<LOD,8956,<LOD,11378,<LOD,17635,925,292,1086,91,<LOD,2,<LOD,7,<LOD,2,1083,132,<LOD,13,<LOD,3,<LOD,0
10_m08,<LOD,33143,7483,921,27016,300,<LOD,578,1813,49,<LOD,1299,88208,228,<LOD,1293,<LOD,782,<LOD,80,76,28,1244,41,1389,41,352,20,204137,376,666889,755,<LOD,46,<LOD,2,40,7,<LOD,1,19,5,<LOD,2,<LOD,4,79,8,143,8,78,17,<LOD,6,167,36,<LOD,10,<LOD,4814,<LOD,8178,<LOD,10607,<LOD,16535,<LOD,22869,<LOD,14,39,12,<LOD,7,<LOD,2,828,130,<LOD,13,<LOD,3,<LOD,0
10_m09,23770,5661,5004,914,26298,382,<LOD,489,2016,54,<LOD,1178,94005,869,<LOD,1025,<LOD,696,<LOD,83,95,27,108,26,262,33,177,17,9179,105,669904,4240,166089,1466,<LOD,2,<LOD,2,<LOD,1,<LOD,1,60,6,<LOD,3,<LOD,4,393,12,78,17,<LOD,6,213,36,<LOD,10,<LOD,5314,<LOD,9170,<LOD,11749,<LOD,18352,889,285,<LOD,71,<LOD,3,<LOD,20,<LOD,2,1460,127,<LOD,13,<LOD,3,<LOD,0
10_m10,<LOD,35701,9085,852,26620,297,<LOD,623,1945,50,211,64,67170,197,<LOD,1378,<LOD,914,<LOD,82,89,26,82,25,218,32,182,16,10249,65,708656,757,171364,315,<LOD,2,<LOD,2,<LOD,1,<LOD,1,64,6,<LOD,3,<LOD,4,413,13,117,19,<LOD,6,259,38,<LOD,10,<LOD,4600,<LOD,7711,488,141,712,221,<LOD,20907,<LOD,69,<LOD,3,<LOD,19,<LOD,2,2076,139,<LOD,13,<LOD,3,<LOD,0
10_m11,<LOD,28356,6554,883,25921,285,<LOD,554,1942,48,390,62,90189,226,1086,46,<LOD,743,<LOD,89,55,28,224,27,35388,136,2317,44,<LOD,30,833100,834,<LOD,68,<LOD,2,49,7,<LOD,1,16,5,33,7,<LOD,3,65,7,168,9,56,18,<LOD,6,230,37,<LOD,11,<LOD,4130,<LOD,7352,<LOD,9127,<LOD,14634,<LOD,19511,318,73,38,11,<LOD,7,<LOD,2,1860,136,<LOD,15,<LOD,3,<LOD,0
10_m12,<LOD,32022,8434,807,25912,280,<LOD,626,2050,47,4034,70,71552,195,1073,41,<LOD,868,<LOD,84,56,27,205,26,23470,106,1943,36,<LOD,30,858208,795,<LOD,67,<LOD,2,48,7,<LOD,1,25,5,86,7,<LOD,3,84,8,185,9,<LOD,0,<LOD,6,274,37,<LOD,11,<LOD,4144,372,124,<LOD,9536,<LOD,15133,<LOD,20364,<LOD,17,81,13,<LOD,7,37,10,1871,151,<LOD,16,<LOD,3,<LOD,0
10_m13,<LOD,32397,<LOD,8373,<LOD,3518,<LOD,592,<LOD,909,<LOD,1411,<LOD,5766,<LOD,1356,<LOD,268,<LOD,82,125,26,508,27,530,34,211,14,303,29,934395,293,50926,156,<LOD,2,<LOD,2,<LOD,1,24,6,76,8,<LOD,3,53,16,292,13,74,20,<LOD,6,9473,91,<LOD,10,<LOD,3922,409,132,<LOD,8530,<LOD,13567,<LOD,18765,<LOD,38,<LOD,3,<LOD,12,52,14,2548,201,<LOD,15,<LOD,3,<LOD,1276
