,Wavelength (nm)
1863,622.569
1864,622.8
1865,623.03
1866,623.261
1867,623.491
1868,623.722
1869,623.952
1870,624.182
1871,624.413
1872,624.643
1873,624.874
1874,625.104
1875,625.334
1876,625.564
1877,625.795
1878,626.025
1879,626.255
1880,626.485
1881,626.715
1882,626.946
1883,627.176
1884,627.406
1885,627.636
1886,627.866
1887,628.096
1888,628.326
1889,628.556
1890,628.786
1891,629.016
1892,629.246
1893,629.475
1894,629.705
1895,629.935
1896,630.165
1897,630.395
1898,630.625
1899,630.854
1900,631.084
1901,631.314
1902,631.543
1903,631.773
1904,632.003
1905,632.232
1906,632.462
1907,632.691
1908,632.921
1909,633.15
1910,633.38
1911,633.609
1912,633.839
1913,634.068
1914,634.298
1915,634.527
1916,634.756
1917,634.986
1918,635.215
1919,635.444
1920,635.673
1921,635.903
1922,636.132
1923,636.361
1924,636.59
1925,636.819
1926,637.048
1927,637.277
1928,637.506
1929,637.735
1930,637.964
1931,638.193
1932,638.422
1933,638.651
1934,638.88
1935,639.109
1936,639.338
1937,639.567
1938,639.796
1939,640.025
1940,640.253
1941,640.482
1942,640.711
1943,640.939
1944,641.168
1945,641.397
1946,641.625
1947,641.854
1948,642.083
1949,642.311
1950,642.54
1951,642.768
1952,642.997
1953,643.225
1954,643.454
1955,643.682
1956,643.91
1957,644.139
1958,644.367
1959,644.595
1960,644.824
1961,645.052
1962,645.28
1963,645.509
1964,645.737
1965,645.965
1966,646.193
1967,646.421
1968,646.649
1969,646.877
1970,647.105
1971,647.333
1972,647.561
1973,647.789
1974,648.017
1975,648.245
1976,648.473
1977,648.701
1978,648.929
1979,649.157
1980,649.385
1981,649.612
1982,649.84
1983,650.068
1984,650.296
1985,650.523
1986,650.751
1987,650.979
1988,651.206
1989,651.434
1990,651.662
1991,651.889
1992,652.117
1993,652.344
1994,652.572
1995,652.799
1996,653.026
1997,653.254
1998,653.481
1999,653.709
2000,653.936
2001,654.163
2002,654.391
2003,654.618
2004,654.845
2005,655.072
2006,655.299
2007,655.527
2008,655.754
2009,655.981
2010,656.208
2011,656.435
2012,656.662
2013,656.889
2014,657.116
2015,657.343
2016,657.57
2017,657.797
2018,658.024
2019,658.251
2020,658.478
2021,658.704
2022,658.931
2023,659.158
2024,659.385
2025,659.611
2026,659.838
2027,660.065
2028,660.291
2029,660.518
2030,660.745
2031,660.971
2032,661.198
2033,661.424
2034,661.651
2035,661.877
2036,662.104
2037,662.33
2038,662.557
2039,662.783
2040,663.009
2041,663.236
2042,663.462
2043,663.688
2044,663.915
2045,664.141
2046,664.367
2047,664.593
2048,664.819
2049,665.045
2050,665.272
2051,665.498
2052,665.724
2053,665.95
2054,666.176
2055,666.402
2056,666.628
2057,666.854
2058,667.08
2059,667.305
2060,667.531
2061,667.757
2062,667.983
2063,668.209
2064,668.435
2065,668.66
2066,668.886
2067,669.112
2068,669.337
2069,669.563
2070,669.789
2071,670.014
2072,670.24
2073,670.465
2074,670.691
2075,670.916
2076,671.142
2077,671.367
2078,671.593
2079,671.818
2080,672.043
2081,672.269
2082,672.494
2083,672.719
2084,672.945
2085,673.17
2086,673.395
2087,673.62
2088,673.845
2089,674.071
2090,674.296
2091,674.521
2092,674.746
2093,674.971
2094,675.196
2095,675.421
2096,675.646
2097,675.871
2098,676.096
2099,676.321
2100,676.545
2101,676.77
2102,676.995
2103,677.22
2104,677.445
2105,677.669
2106,677.894
2107,678.119
2108,678.343
2109,678.568
2110,678.793
2111,679.017
2112,679.242
2113,679.466
2114,679.691
2115,679.915
2116,680.14
2117,680.364
2118,680.589
2119,680.813
2120,681.037
2121,681.262
2122,681.486
2123,681.71
2124,681.935
2125,682.159
2126,682.383
2127,682.607
2128,682.831
2129,683.056
2130,683.28
2131,683.504
2132,683.728
2133,683.952
2134,684.176
2135,684.4
2136,684.624
2137,684.848
2138,685.072
2139,685.296
2140,685.519
2141,685.743
2142,685.967
2143,686.191
2144,686.415
2145,686.638
2146,686.862
2147,687.086
2148,687.309
2149,687.533
2150,687.756
2151,687.98
2152,688.204
2153,688.427
2154,688.651
2155,688.874
2156,689.098
2157,689.321
2158,689.544
2159,689.768
2160,689.991
2161,690.214
2162,690.438
2163,690.661
2164,690.884
2165,691.107
2166,691.331
2167,691.554
2168,691.777
2169,692.0
2170,692.223
2171,692.446
2172,692.669
2173,692.892
2174,693.115
2175,693.338
2176,693.561
2177,693.784
2178,694.007
2179,694.23
2180,694.452
2181,694.675
2182,694.898
2183,695.121
2184,695.343
2185,695.566
2186,695.789
2187,696.011
2188,696.234
2189,696.457
2190,696.679
2191,696.902
2192,697.124
2193,697.347
2194,697.569
2195,697.792
2196,698.014
2197,698.236
2198,698.459
2199,698.681
2200,698.903
2201,699.126
2202,699.348
2203,699.57
2204,699.792
2205,700.015
2206,700.237
2207,700.459
2208,700.681
2209,700.903
2210,701.125
2211,701.347
2212,701.569
2213,701.791
2214,702.013
2215,702.235
2216,702.457
2217,702.679
2218,702.901
2219,703.122
2220,703.344
2221,703.566
2222,703.788
2223,704.009
2224,704.231
2225,704.453
2226,704.674
2227,704.896
2228,705.117
2229,705.339
2230,705.56
2231,705.782
2232,706.003
2233,706.225
2234,706.446
2235,706.668
2236,706.889
2237,707.11
2238,707.332
2239,707.553
2240,707.774
2241,707.995
2242,708.217
2243,708.438
2244,708.659
2245,708.88
2246,709.101
2247,709.322
2248,709.543
2249,709.764
2250,709.985
2251,710.206
2252,710.427
2253,710.648
2254,710.869
2255,711.09
2256,711.311
2257,711.532
2258,711.752
2259,711.973
2260,712.194
2261,712.415
2262,712.635
2263,712.856
2264,713.076
2265,713.297
2266,713.518
2267,713.738
2268,713.959
2269,714.179
2270,714.4
2271,714.62
2272,714.84
2273,715.061
2274,715.281
2275,715.502
2276,715.722
2277,715.942
2278,716.162
2279,716.383
2280,716.603
2281,716.823
2282,717.043
2283,717.263
2284,717.483
2285,717.703
2286,717.923
2287,718.143
2288,718.363
2289,718.583
2290,718.803
2291,719.023
2292,719.243
2293,719.463
2294,719.683
2295,719.902
2296,720.122
2297,720.342
2298,720.562
2299,720.781
2300,721.001
2301,721.221
2302,721.44
2303,721.66
2304,721.879
2305,722.099
2306,722.318
2307,722.538
2308,722.757
2309,722.977
2310,723.196
2311,723.415
2312,723.635
2313,723.854
2314,724.073
2315,724.293
2316,724.512
2317,724.731
2318,724.95
2319,725.169
2320,725.388
2321,725.607
2322,725.827
2323,726.046
2324,726.265
2325,726.484
2326,726.703
2327,726.921
2328,727.14
2329,727.359
2330,727.578
2331,727.797
2332,728.016
2333,728.234
2334,728.453
2335,728.672
2336,728.891
2337,729.109
2338,729.328
2339,729.546
2340,729.765
2341,729.984
2342,730.202
2343,730.421
2344,730.639
2345,730.857
2346,731.076
2347,731.294
2348,731.513
2349,731.731
2350,731.949
2351,732.167
2352,732.386
2353,732.604
2354,732.822
2355,733.04
2356,733.258
2357,733.476
2358,733.695
2359,733.913
2360,734.131
2361,734.349
2362,734.567
2363,734.785
2364,735.002
2365,735.22
2366,735.438
2367,735.656
2368,735.874
2369,736.092
2370,736.309
2371,736.527
2372,736.745
2373,736.962
2374,737.18
2375,737.398
2376,737.615
2377,737.833
2378,738.05
2379,738.268
2380,738.485
2381,738.703
2382,738.92
2383,739.138
2384,739.355
2385,739.572
2386,739.79
2387,740.007
2388,740.224
2389,740.441
2390,740.658
2391,740.876
2392,741.093
2393,741.31
2394,741.527
2395,741.744
2396,741.961
2397,742.178
2398,742.395
2399,742.612
2400,742.829
2401,743.046
2402,743.263
2403,743.479
2404,743.696
2405,743.913
2406,744.13
2407,744.346
2408,744.563
2409,744.78
2410,744.996
2411,745.213
2412,745.43
2413,745.646
2414,745.863
2415,746.079
2416,746.296
2417,746.512
2418,746.729
2419,746.945
2420,747.161
2421,747.378
2422,747.594
2423,747.81
2424,748.026
2425,748.243
2426,748.459
2427,748.675
2428,748.891
2429,749.107
2430,749.323
2431,749.539
2432,749.755
2433,749.971
2434,750.187
2435,750.403
2436,750.619
2437,750.835
2438,751.051
2439,751.267
2440,751.483
2441,751.698
2442,751.914
2443,752.13
2444,752.345
2445,752.561
2446,752.777
2447,752.992
2448,753.208
2449,753.423
2450,753.639
2451,753.854
2452,754.07
2453,754.285
2454,754.501
2455,754.716
2456,754.931
2457,755.147
2458,755.362
2459,755.577
2460,755.792
2461,756.008
2462,756.223
2463,756.438
2464,756.653
2465,756.868
2466,757.083
2467,757.298
2468,757.513
2469,757.728
2470,757.943
2471,758.158
2472,758.373
2473,758.588
2474,758.803
2475,759.017
2476,759.232
2477,759.447
2478,759.662
2479,759.876
2480,760.091
2481,760.306
2482,760.52
2483,760.735
2484,760.949
2485,761.164
2486,761.378
2487,761.593
2488,761.807
2489,762.022
2490,762.236
2491,762.45
2492,762.665
2493,762.879
2494,763.093
2495,763.307
2496,763.522
2497,763.736
2498,763.95
2499,764.164
2500,764.378
2501,764.592
2502,764.806
2503,765.02
2504,765.234
2505,765.448
2506,765.662
2507,765.876
2508,766.09
2509,766.304
2510,766.517
2511,766.731
2512,766.945
2513,767.159
2514,767.372
2515,767.586
2516,767.8
2517,768.013
2518,768.227
2519,768.44
2520,768.654
2521,768.867
2522,769.081
2523,769.294
2524,769.508
2525,769.721
2526,769.934
2527,770.148
2528,770.361
2529,770.574
2530,770.787
2531,771.0
2532,771.214
2533,771.427
2534,771.64
2535,771.853
2536,772.066
2537,772.279
2538,772.492
2539,772.705
2540,772.918
2541,773.131
2542,773.344
2543,773.556
2544,773.769
2545,773.982
2546,774.195
2547,774.408
2548,774.62
2549,774.833
2550,775.046
2551,775.258
2552,775.471
2553,775.683
2554,775.896
2555,776.108
2556,776.321
2557,776.533
2558,776.746
2559,776.958
2560,777.17
2561,777.383
2562,777.595
2563,777.807
2564,778.019
2565,778.232
2566,778.444
2567,778.656
2568,778.868
2569,779.08
2570,779.292
2571,779.504
2572,779.716
2573,779.928
2574,780.14
2575,780.352
2576,780.564
2577,780.776
2578,780.987
2579,781.199
2580,781.411
2581,781.623
2582,781.834
2583,782.046
2584,782.258
2585,782.469
2586,782.681
2587,782.892
2588,783.104
2589,783.315
2590,783.527
2591,783.738
2592,783.95
2593,784.161
2594,784.372
2595,784.584
2596,784.795
2597,785.006
2598,785.218
2599,785.429
2600,785.64
2601,785.851
2602,786.062
2603,786.273
2604,786.484
2605,786.695
2606,786.906
2607,787.117
2608,787.328
2609,787.539
2610,787.75
2611,787.961
2612,788.172
2613,788.382
2614,788.593
2615,788.804
2616,789.014
2617,789.225
2618,789.436
2619,789.646
2620,789.857
2621,790.067
2622,790.278
2623,790.488
2624,790.699
2625,790.909
2626,791.12
2627,791.33
2628,791.54
2629,791.751
2630,791.961
2631,792.171
2632,792.381
2633,792.592
2634,792.802
2635,793.012
2636,793.222
2637,793.432
2638,793.642
2639,793.852
2640,794.062
2641,794.272
2642,794.482
2643,794.692
2644,794.902
2645,795.111
2646,795.321
2647,795.531
2648,795.741
2649,795.95
2650,796.16
2651,796.37
2652,796.579
2653,796.789
2654,796.998
2655,797.208
2656,797.417
2657,797.627
2658,797.836
2659,798.046
2660,798.255
2661,798.464
2662,798.674
2663,798.883
2664,799.092
2665,799.301
2666,799.511
2667,799.72
2668,799.929
2669,800.138
2670,800.347
2671,800.556
2672,800.765
2673,800.974
2674,801.183
2675,801.392
2676,801.601
2677,801.81
2678,802.019
2679,802.227
2680,802.436
2681,802.645
2682,802.854
2683,803.062
2684,803.271
2685,803.479
2686,803.688
2687,803.897
2688,804.105
2689,804.314
2690,804.522
2691,804.73
2692,804.939
2693,805.147
2694,805.356
2695,805.564
2696,805.772
2697,805.98
2698,806.189
2699,806.397
2700,806.605
2701,806.813
2702,807.021
2703,807.229
2704,807.437
2705,807.645
2706,807.853
2707,808.061
2708,808.269
2709,808.477
2710,808.685
2711,808.893
2712,809.1
2713,809.308
2714,809.516
2715,809.724
2716,809.931
2717,810.139
2718,810.346
2719,810.554
2720,810.762
2721,810.969
2722,811.177
2723,811.384
2724,811.591
2725,811.799
2726,812.006
2727,812.213
2728,812.421
2729,812.628
2730,812.835
2731,813.042
2732,813.25
2733,813.457
2734,813.664
2735,813.871
2736,814.078
2737,814.285
2738,814.492
2739,814.699
2740,814.906
2741,815.113
2742,815.32
2743,815.526
2744,815.733
2745,815.94
2746,816.147
2747,816.353
2748,816.56
2749,816.767
2750,816.973
2751,817.18
2752,817.387
2753,817.593
2754,817.8
2755,818.006
2756,818.212
2757,818.419
2758,818.625
2759,818.832
2760,819.038
2761,819.244
2762,819.45
2763,819.657
2764,819.863
2765,820.069
2766,820.275
2767,820.481
2768,820.687
2769,820.893
2770,821.099
2771,821.305
2772,821.511
2773,821.717
2774,821.923
2775,822.129
2776,822.334
2777,822.54
2778,822.746
2779,822.952
2780,823.157
2781,823.363
2782,823.569
2783,823.774
2784,823.98
2785,824.185
2786,824.391
2787,824.596
2788,824.802
2789,825.007
2790,825.212
2791,825.418
2792,825.623
2793,825.828
2794,826.034
2795,826.239
2796,826.444
2797,826.649
2798,826.854
2799,827.059
2800,827.264
2801,827.469
2802,827.674
2803,827.879
2804,828.084
2805,828.289
2806,828.494
2807,828.699
2808,828.904
2809,829.108
2810,829.313
2811,829.518
2812,829.722
2813,829.927
2814,830.132
2815,830.336
2816,830.541
2817,830.745
2818,830.95
2819,831.154
2820,831.359
2821,831.563
2822,831.767
2823,831.972
2824,832.176
2825,832.38
2826,832.585
2827,832.789
2828,832.993
2829,833.197
2830,833.401
2831,833.605
2832,833.809
2833,834.013
2834,834.217
2835,834.421
2836,834.625
2837,834.829
2838,835.033
2839,835.237
2840,835.44
2841,835.644
2842,835.848
2843,836.052
2844,836.255
2845,836.459
2846,836.662
2847,836.866
2848,837.07
2849,837.273
2850,837.477
2851,837.68
2852,837.883
2853,838.087
2854,838.29
2855,838.493
2856,838.697
2857,838.9
2858,839.103
2859,839.306
2860,839.509
2861,839.713
2862,839.916
2863,840.119
2864,840.322
2865,840.525
2866,840.728
2867,840.931
2868,841.133
2869,841.336
2870,841.539
2871,841.742
2872,841.945
2873,842.147
2874,842.35
2875,842.553
2876,842.755
2877,842.958
2878,843.161
2879,843.363
2880,843.566
2881,843.768
2882,843.971
2883,844.173
2884,844.375
2885,844.578
2886,844.78
2887,844.982
2888,845.185
2889,845.387
2890,845.589
2891,845.791
2892,845.993
2893,846.195
2894,846.397
2895,846.599
2896,846.801
2897,847.003
2898,847.205
2899,847.407
2900,847.609
2901,847.811
2902,848.013
2903,848.214
2904,848.416
2905,848.618
2906,848.819
2907,849.021
2908,849.223
2909,849.424
2910,849.626
2911,849.827
2912,850.029
2913,850.23
2914,850.432
2915,850.633
2916,850.834
2917,851.036
2918,851.237
2919,851.438
2920,851.639
2921,851.841
2922,852.042
2923,852.243
2924,852.444
2925,852.645
2926,852.846
2927,853.047
2928,853.248
2929,853.449
2930,853.65
2931,853.851
2932,854.051
2933,854.252
2934,854.453
2935,854.654
2936,854.854
2937,855.055
2938,855.256
2939,855.456
2940,855.657
2941,855.857
2942,856.058
2943,856.258
2944,856.459
2945,856.659
2946,856.859
2947,857.06
2948,857.26
2949,857.46
2950,857.66
2951,857.861
2952,858.061
2953,858.261
2954,858.461
2955,858.661
2956,858.861
2957,859.061
2958,859.261
2959,859.461
2960,859.661
2961,859.861
2962,860.061
2963,860.26
2964,860.46
2965,860.66
2966,860.86
2967,861.059
2968,861.259
2969,861.459
2970,861.658
2971,861.858
2972,862.057
2973,862.257
2974,862.456
2975,862.656
2976,862.855
2977,863.054
2978,863.254
2979,863.453
2980,863.652
2981,863.851
2982,864.05
2983,864.25
2984,864.449
2985,864.648
2986,864.847
2987,865.046
2988,865.245
2989,865.444
2990,865.643
2991,865.842
2992,866.04
2993,866.239
2994,866.438
2995,866.637
2996,866.835
2997,867.034
2998,867.233
2999,867.431
3000,867.63
3001,867.828
3002,868.027
3003,868.225
3004,868.424
3005,868.622
3006,868.821
3007,869.019
3008,869.217
3009,869.416
3010,869.614
3011,869.812
3012,870.01
3013,870.208
3014,870.407
3015,870.605
3016,870.803
3017,871.001
3018,871.199
3019,871.397
3020,871.594
3021,871.792
3022,871.99
3023,872.188
3024,872.386
3025,872.584
3026,872.781
3027,872.979
3028,873.177
3029,873.374
3030,873.572
3031,873.769
3032,873.967
3033,874.164
3034,874.362
3035,874.559
3036,874.756
3037,874.954
3038,875.151
3039,875.348
3040,875.546
3041,875.743
3042,875.94
3043,876.137
3044,876.334
3045,876.531
3046,876.728
3047,876.925
3048,877.122
3049,877.319
3050,877.516
3051,877.713
3052,877.91
3053,878.107
3054,878.303
3055,878.5
3056,878.697
3057,878.894
3058,879.09
3059,879.287
3060,879.483
3061,879.68
3062,879.876
3063,880.073
3064,880.269
3065,880.466
3066,880.662
3067,880.858
3068,881.055
3069,881.251
3070,881.447
3071,881.643
3072,881.84
3073,882.036
3074,882.232
3075,882.428
3076,882.624
3077,882.82
3078,883.016
3079,883.212
3080,883.408
3081,883.603
3082,883.799
3083,883.995
3084,884.191
3085,884.386
3086,884.582
3087,884.778
3088,884.973
3089,885.169
3090,885.365
3091,885.56
3092,885.756
3093,885.951
3094,886.146
3095,886.342
3096,886.537
3097,886.732
3098,886.928
3099,887.123
3100,887.318
3101,887.513
3102,887.708
3103,887.904
3104,888.099
3105,888.294
3106,888.489
3107,888.684
3108,888.879
3109,889.073
3110,889.268
3111,889.463
3112,889.658
3113,889.853
3114,890.047
3115,890.242
3116,890.437
3117,890.631
3118,890.826
3119,891.021
3120,891.215
3121,891.41
3122,891.604
3123,891.798
3124,891.993
3125,892.187
3126,892.381
3127,892.576
3128,892.77
3129,892.964
3130,893.158
3131,893.352
3132,893.547
3133,893.741
3134,893.935
3135,894.129
3136,894.323
3137,894.517
3138,894.711
3139,894.904
3140,895.098
3141,895.292
3142,895.486
3143,895.679
3144,895.873
3145,896.067
3146,896.26
3147,896.454
3148,896.648
3149,896.841
3150,897.035
3151,897.228
3152,897.421
3153,897.615
3154,897.808
3155,898.002
3156,898.195
3157,898.388
3158,898.581
3159,898.774
3160,898.968
3161,899.161
3162,899.354
3163,899.547
3164,899.74
3165,899.933
3166,900.126
3167,900.319
3168,900.511
3169,900.704
3170,900.897
3171,901.09
3172,901.283
3173,901.475
3174,901.668
3175,901.86
3176,902.053
3177,902.246
3178,902.438
3179,902.631
3180,902.823
3181,903.015
3182,903.208
3183,903.4
3184,903.592
3185,903.785
3186,903.977
3187,904.169
3188,904.361
3189,904.553
3190,904.746
3191,904.938
3192,905.13
3193,905.322
3194,905.514
3195,905.705
3196,905.897
3197,906.089
3198,906.281
3199,906.473
3200,906.665
3201,906.856
3202,907.048
3203,907.24
3204,907.431
3205,907.623
3206,907.814
3207,908.006
3208,908.197
3209,908.389
3210,908.58
3211,908.771
3212,908.963
3213,909.154
3214,909.345
3215,909.536
3216,909.728
3217,909.919
3218,910.11
3219,910.301
3220,910.492
3221,910.683
3222,910.874
3223,911.065
3224,911.256
3225,911.447
3226,911.638
3227,911.828
3228,912.019
3229,912.21
3230,912.4
3231,912.591
3232,912.782
3233,912.972
3234,913.163
3235,913.353
3236,913.544
3237,913.734
3238,913.925
3239,914.115
3240,914.305
3241,914.496
3242,914.686
3243,914.876
3244,915.066
3245,915.257
3246,915.447
3247,915.637
3248,915.827
3249,916.017
3250,916.207
3251,916.397
3252,916.587
3253,916.776
3254,916.966
3255,917.156
3256,917.346
3257,917.536
3258,917.725
3259,917.915
3260,918.105
3261,918.294
3262,918.484
3263,918.673
3264,918.863
3265,919.052
3266,919.242
3267,919.431
3268,919.62
3269,919.81
3270,919.999
3271,920.188
3272,920.377
3273,920.566
3274,920.756
3275,920.945
3276,921.134
3277,921.323
3278,921.512
3279,921.701
3280,921.89
3281,922.078
3282,922.267
3283,922.456
3284,922.645
3285,922.834
3286,923.022
3287,923.211
3288,923.399
3289,923.588
3290,923.777
3291,923.965
3292,924.154
3293,924.342
3294,924.53
3295,924.719
3296,924.907
3297,925.095
3298,925.284
3299,925.472
3300,925.66
3301,925.848
3302,926.036
3303,926.224
3304,926.413
3305,926.601
3306,926.789
3307,926.976
3308,927.164
3309,927.352
3310,927.54
3311,927.728
3312,927.916
3313,928.103
3314,928.291
3315,928.479
3316,928.666
3317,928.854
3318,929.041
3319,929.229
3320,929.416
3321,929.604
3322,929.791
3323,929.979
3324,930.166
3325,930.353
3326,930.54
3327,930.728
3328,930.915
3329,931.102
3330,931.289
3331,931.476
3332,931.663
3333,931.85
3334,932.037
3335,932.224
3336,932.411
3337,932.598
3338,932.785
3339,932.971
3340,933.158
3341,933.345
3342,933.532
3343,933.718
3344,933.905
3345,934.091
3346,934.278
3347,934.464
3348,934.651
3349,934.837
3350,935.024
3351,935.21
3352,935.396
3353,935.582
3354,935.769
3355,935.955
3356,936.141
3357,936.327
3358,936.513
3359,936.699
3360,936.885
3361,937.071
3362,937.257
3363,937.443
3364,937.629
3365,937.815
3366,938.001
3367,938.186
3368,938.372
3369,938.558
3370,938.743
3371,938.929
3372,939.115
3373,939.3
3374,939.486
3375,939.671
3376,939.857
3377,940.042
3378,940.227
3379,940.413
3380,940.598
3381,940.783
3382,940.968
3383,941.154
3384,941.339
3385,941.524
3386,941.709
3387,941.894
3388,942.079
3389,942.264
3390,942.449
3391,942.634
3392,942.818
3393,943.003
3394,943.188
3395,943.373
3396,943.557
3397,943.742
3398,943.927
3399,944.111
3400,944.296
3401,944.48
3402,944.665
3403,944.849
3404,945.034
3405,945.218
3406,945.402
3407,945.587
3408,945.771
3409,945.955
3410,946.139
3411,946.323
3412,946.508
3413,946.692
3414,946.876
3415,947.06
3416,947.244
3417,947.428
3418,947.611
3419,947.795
3420,947.979
3421,948.163
3422,948.347
3423,948.53
3424,948.714
3425,948.898
3426,949.081
3427,949.265
3428,949.448
3429,949.632
3430,949.815
3431,949.998
3432,950.182
3433,950.365
3434,950.548
3435,950.732
3436,950.915
3437,951.098
3438,951.281
3439,951.464
3440,951.647
3441,951.83
3442,952.013
3443,952.196
3444,952.379
3445,952.562
3446,952.745
3447,952.928
3448,953.111
3449,953.293
3450,953.476
3451,953.659
3452,953.841
3453,954.024
3454,954.206
3455,954.389
3456,954.571
3457,954.754
3458,954.936
3459,955.119
3460,955.301
3461,955.483
3462,955.665
3463,955.848
3464,956.03
3465,956.212
3466,956.394
3467,956.576
3468,956.758
3469,956.94
3470,957.122
3471,957.304
3472,957.486
3473,957.668
3474,957.849
3475,958.031
3476,958.213
3477,958.395
3478,958.576
3479,958.758
3480,958.939
3481,959.121
3482,959.302
3483,959.484
3484,959.665
3485,959.847
3486,960.028
3487,960.209
3488,960.391
3489,960.572
3490,960.753
3491,960.934
3492,961.115
3493,961.296
3494,961.477
3495,961.658
3496,961.839
3497,962.02
3498,962.201
3499,962.382
3500,962.563
3501,962.744
3502,962.924
3503,963.105
3504,963.286
3505,963.466
3506,963.647
3507,963.827
3508,964.008
3509,964.188
3510,964.369
3511,964.549
3512,964.73
3513,964.91
3514,965.09
3515,965.27
3516,965.451
3517,965.631
3518,965.811
3519,965.991
3520,966.171
3521,966.351
3522,966.531
3523,966.711
3524,966.891
3525,967.071
3526,967.251
3527,967.43
3528,967.61
3529,967.79
3530,967.97
3531,968.149
3532,968.329
3533,968.508
3534,968.688
3535,968.867
3536,969.047
3537,969.226
3538,969.406
3539,969.585
3540,969.764
3541,969.943
3542,970.123
3543,970.302
3544,970.481
3545,970.66
3546,970.839
3547,971.018
3548,971.197
3549,971.376
3550,971.555
3551,971.734
3552,971.913
3553,972.092
3554,972.27
3555,972.449
3556,972.628
3557,972.806
3558,972.985
3559,973.164
3560,973.342
3561,973.521
3562,973.699
3563,973.877
3564,974.056
3565,974.234
3566,974.412
3567,974.591
3568,974.769
3569,974.947
3570,975.125
3571,975.303
3572,975.481
3573,975.66
3574,975.837
3575,976.015
3576,976.193
3577,976.371
3578,976.549
3579,976.727
3580,976.905
3581,977.082
3582,977.26
3583,977.438
3584,977.615
3585,977.793
3586,977.97
3587,978.148
3588,978.325
3589,978.503
3590,978.68
3591,978.857
3592,979.035
3593,979.212
3594,979.389
3595,979.566
3596,979.744
3597,979.921
3598,980.098
3599,980.275
3600,980.452
3601,980.629
3602,980.806
3603,980.983
3604,981.159
3605,981.336
3606,981.513
3607,981.69
3608,981.866
3609,982.043
3610,982.22
3611,982.396
3612,982.573
3613,982.749
3614,982.926
3615,983.102
3616,983.278
3617,983.455
3618,983.631
3619,983.807
3620,983.983
3621,984.16
3622,984.336
3623,984.512
3624,984.688
3625,984.864
3626,985.04
3627,985.216
3628,985.392
3629,985.568
3630,985.743
3631,985.919
3632,986.095
3633,986.271
3634,986.446
3635,986.622
3636,986.798
3637,986.973
3638,987.149
3639,987.324
3640,987.5
3641,987.675
3642,987.85
3643,988.026
3644,988.201
3645,988.376
3646,988.551
3647,988.726
